District,Cold Storage_Name,Capacity and UOM,Latitude,Longitude
Gopalganj,M/s Maa Ambey Cold Storage Pvt. Ltd.,5030.35 MT,26.417413,84.269753
Purbi Champaran,Arya Enterprises and Cold Storage Pvt. Ltd,260.8 MT,26.599626,84.767112
Kishanganj,SHRESTHA COLD STORAGE PVT.LTD.,11344.8 MT,26.126916,87.927036
Pashchim Champaran,Dumaria Joint Agriculture Cooperative Committee,2000 MT,27.15071,84.3267
Pashchim Champaran,M/s Choudhary Cold Storage,3937.5 MT,26.80119,84.48519
Pashchim Champaran,Ms Rajgarhia Cold Storage & Ice Company,4376.52 MT,26.805456,84.515973
Pashchim Champaran,Ms Nanosati Cold Storage,8000 MT,26.766166,84.608999
Sitamarhi,RAMSATI COLD STORAGE (P) LTD.,5295.8 MT,26.586747,85.509767
Vaishali,Balaji agro agim & Cold storage pvt Hajipur,5814.7 MT,25.693293,85.236984
Gopalganj,M/s MAA AMBE AGRO. TECH. PVT. LTD.,5280 MT,26.375929,84.321662
Gopalganj,M/s PRABHU COLD STORAGE PVT. LTD.,4644.1 MT,26.414751,84.268712
Khagaria,Radhe Girdhari cold storage pvt.Ltd.,6103.7 MT,25.453243,86.656022
Gopalganj,M/s AZAM COLD STORAGE,2205.9 MT,26.474566,84.237054
Gopalganj,M/s SARDAR COLD STORAGE PVT. LTD.,2305.3 MT,26.510155,84.377598
Gopalganj,M/s SATYAM SHIVAM SUNDARAM PVT. LTD.,5047 MT,26.413041,84.279737
Gopalganj,M/s GAUDARAM COLD STORAGE PVT. LTD.,5957 MT,26.448588,84.119653
Saran,Panchali Cold Storage Pvt. Ltd.,5445 MT,25.840167,84.874236
Vaishali,Lichachibi Cold storage,11071.5 MT,25.698415,85.240902
Vaishali,R.P Cold Storage & Ice Plant,6639.9 MT,25.688917,85.253472
Vaishali,Mahua Co-Oprative Cold Storage,4216.2 MT,25.697518,85.239718
Vaishali,Ram pari Agro Products Pvt.Ltd,5466.6 MT,25.813353,85.258387
Vaishali,"Reshma Cold Storage pvt, Ltd",7067.6 MT,25.794805,85.383173
Vaishali,"Ram Vilash Cold Storage Pvt, Ltd",7739.8 MT,25.808254,85.428879
Saran,Panchadev Cold Storage Pvt. Ltd,6111 MT,25.884265,84.753223
Saran,Rama Cold Storage,3654 MT,25.792213,84.751329
Saran,Ganpati Cold Store,4290 MT,26.047739,84.68878
Saran,Shiv Bhawani Cold Storage Pvt. Ltd.,5800 MT,26.10384,84.797212
Vaishali,Mahua Co-Oprative Cold Storage,9868.2 MT,25.805978,85.391394
Saran,Shanker Cold Storage,2372 MT,25.832667,84.872087
Saran,Kamala Cold Storage Pvt. Ltd,1978 MT,26.077681,84.799484
Bhagalpur,Bhagalpur Cold Storage,3070.3 MT,25.252716,87.006761
Saran,Mai Cold Storage Pvt. Ltd.,1347 MT,25.832415,84.871852
Saran,Shashi Bhushan Cold Storage Pvt. Ltd,2500 MT,25.993444,84.788828
Saran,Anusuiya Cold Storage Pvt. Ltd,5744 MT,25.824949,84.889481
Saran,Sundaram Cold Storage Pvt. Ltd,4412 MT,26.012563,84.872661
Saran,Shri Narayan Cold Storage,4263 MT,25.977564,84.686498
Saran,Singhini Cold Storage Pvt. Ltd,4412 MT,25.84533,84.879224
Saran,Competent Promoters and Fivicol Pvt. Ltd,2105 MT,25.959949,84.848551
Vaishali,Yamuna Nursing Home and Agro Division Cold Storage,5406.2 MT,25.726485,85.51916
Saran,Dani Mouryadhwaj Cold Storage Pvt. Ltd,4412 MT,25.825527,84.836333
Saran,Thakur anukul chand cold storeg Pvt ltd,7580 MT,25.922049,84.963583
Saran,Maiya jee cold storge pvt ltd,7523 MT,25.96522,84.94084
Saran,shankri agro industries pvt ltd,7869 MT,25.800178,84.989372
Saran,Parshuram cold storage pvd ltd,7290 MT,25.805311,84.984919
Saran,Maa Bhawani cold storage pvt ltd,4353 MT,25.745243,84.99796
Saran,Ambika cold storage pvt ltd,1931 MT,25.760802,85.097493
Saran,Ganesh Cold Storage Pvt Ltd.,5474.1 MT,26.1385° N,85.3582° E
Purnia,"Shri Shri Cold Storage, Industrial Area, Maranga, Purnea",6899.7 MT,25.738966,87.45708
Bhagalpur,M/S Aadarsh cold storage,335.3 MT,25.207505,86.947149
Purnia,Everest Multi Purpose Cold Storage,9853.8 MT,25.784398,87.511287
Purnia,Bolbam Cold Storage,7150.8 MT,25.691261,87.515084
Vaishali,Bihar Spunj pipe pvt ltd,5968 MT,25.753249,85.220791
Vaishali,Blue Bird I Solution pvt ltd Loma Cold storage Jandha,6347.4 MT,25.740084,85.523121
Purbi Champaran,Champaran cold storage Pvt Ltd,10773.6 MT,26.3951,84.4236
Bhagalpur,Ma Sheet Grih Private Limited,5743.2MT,25.249999,87.227339
Purbi Champaran,Me Harsiddhi Ice Cold storage Pvt Ltd,6117.9MT,26.4044,84.4311
Bhagalpur,Kahalgaon Cold Storage Private Limited,2429.4MT,25.260946,87.227666
Purbi Champaran,B. S. Kesaria cold storage pvt Ltd,10679.3 MT,26.344393,84.861403
Buxar,M/S Durga cold storage and ice factory,2608.8 MT,25.57,83.98
Araria,Ganga Cold Storage (P) Ltd.,4125 MT,26.356638,87.227924
Vaishali,Sushila Shanker Cold Storage pvt Ltd,16123.0 MT,25.921108,85.600669
Vaishali,Minakchi Multipurpose Cold Storage pvt ltd,11902.7 MT,25.880575,85.560441
Darbhanga,Maa Shayama Agro Foods,10359.9 MT,26.07255,86.12215
Vaishali,Sai Multi Cold Storage,6947.1 MT,25.660615,85.296
Vaishali,Vaishali Nutrition and Cold Storage,4907.8 MT,25.638868,85.339635
Vaishali,"Baba Baidhnath Agro Cold Storage pvt, ltd",10005.9 MT,25.947433,85.137484
Vaishali,"Rajmati Cold Storage Pvt, Ltd Mahnar",6994.8 MT,25.628957,85.494721
Vaishali,Janta Cold Storage,3552.3 MT,25.609906,85.479453
Darbhanga,Darbhanga Agro Pvt. Ltd.,3178.2 MT,26.1745,85.9266
Katihar,Kolasi agrotech P V T L T D kolasi katihar,6000 MT,25.578542,87.507547
Katihar,"M/S Kalwati cold stroge Pvt ltd(Bari Bathna mansahi ,Katihar)",6000 MT,25.497618,87.573724
Samastipur,Aparna Cold Storage Pvt Ltd,6417 MT,25.636262,85.583009
Samastipur,Anurag Sheet bhandar pvt. Ltd,22907.2 MT,25.853816,85.66573
Bhojpur,MD ISRAIL COLD STORAGE PVT.LTD,16069.7 MT,25.593013,84.756677
Samastipur,Himachal Cold Storage solutions,12925.5 MT,25.745004,85.788183
Samastipur,Lohia Cold Storage Pvt. Ltd.,8739.1 MT,25.631738,85.595636
Purnia,Pransukha Cold Storage,10366.7 MT,25.792345,87.530341
Saran,Shri Parashuram Ji Cold Storage Pvt. Ltd,5890 MT,26.05585,84.603328
Samastipur,Mohan Cold Storage Pvt. Ltd,12624.7 MT,25.857,85.665532
Purnia,Panna Agrotech Cold Storage,5128.5 MT,25.685939,87.427082
Samastipur,Sushila Renu Cold Storage Pvt. Ltd.,6417 MT,25.698897,85.985847
